Time,Angular_Momentum
0.0000,932565.4545
0.0100,932708.2009
0.0200,932596.8498
0.0300,932634.3497
0.0400,932597.3051
0.0500,932715.4851
0.0600,932583.7318
0.0700,932697.3208
0.0800,932609.4791
0.0900,932696.4963
0.1000,932537.3822
0.1100,932663.0270
0.1200,932659.4708
0.1300,932654.4715
0.1400,932618.7295
0.1500,932655.7891
0.1600,932639.2971
0.1700,932590.7620
0.1800,932636.2262
0.1900,932641.6081
0.2000,932626.2438
0.2100,932679.8469
0.2200,932618.1157
0.2300,932669.9348
0.2400,932584.1146
0.2500,932651.1741
0.2600,932612.7050
0.2700,932687.2963
0.2800,932615.2425
0.2900,932664.4416
0.3000,932626.5444
0.3100,932612.2762
0.3200,932662.0258
0.3300,932626.7553
0.3400,932632.3245
0.3500,932665.0115
0.3800,932660.7310
0.3900,932579.3960
0.4000,932649.4521
0.4100,932595.1315
0.4200,932693.8722
0.4300,932680.8848
0.4400,932595.8024
0.4500,932665.3481
0.4600,932586.0961
0.4700,932646.1207
0.4800,932672.0911
0.4900,932611.5935
0.5000,932684.9283
0.5100,932597.8445
0.5200,932627.9061
0.5300,932599.8387
0.5400,932663.3698
0.5500,932676.4018
0.5600,932618.9428
0.5700,932653.1766
0.5800,932562.3760
0.5900,932673.4609
0.6000,932675.2375
0.6100,932609.4893
0.6200,932675.4234
0.6300,932605.7779
0.6400,932685.7116
0.6500,932561.2728
0.6600,932648.5505
0.6700,932688.2695
0.6800,932588.0153
0.6900,932682.8356
0.7000,932600.1114
0.7100,932618.2737
0.7200,932665.6626
0.7300,932617.9733
0.7400,932668.9064
0.7500,932619.8105
0.7600,932663.0910
0.7700,932565.9405
0.7800,932668.5335
0.7900,932677.4008
0.8000,932597.2659
0.8100,932685.7077
0.8200,932621.3497
0.8300,932661.9074
0.8400,932592.1748
0.8500,932641.2084
0.8600,932671.3555
0.8700,932619.7892
0.8800,932652.8919
0.8900,932621.1930
0.9000,932601.5637
0.9100,932672.3678
0.9200,932607.2238
0.9300,932681.4578
0.9400,932621.2066
0.9500,932664.4429
0.9600,932552.8473
0.9700,932670.7794
0.9800,932683.6981
0.9900,932585.6392
1.0000,932672.5602
1.0100,932612.6067
1.0200,932671.9126
1.0300,932610.9847
1.0400,932617.4103
1.0500,932669.0148
1.0600,932631.0263
1.0700,932646.8168
1.0800,932624.1569
1.0900,932629.7945
1.1000,932663.2878
1.1100,932616.1610
1.1200,932665.4060
1.1300,932610.9996
1.1400,932669.1882
1.1500,932601.3231
1.1600,932633.9777
1.1700,932661.4568
1.1800,932617.0682
1.1900,932664.6731
1.2000,932613.1579
1.2100,932678.8440
1.2200,932569.2150
1.2300,932653.0723
1.2400,932668.0441
1.2500,932612.0924
1.2600,932671.2578
1.2700,932609.8597
1.2800,932603.7639
1.2900,932635.3131
1.3000,932649.6345
1.3100,932681.7288
1.3200,932595.3102
1.3300,932708.4171
1.3400,932599.4215
1.3500,932611.1589
1.3600,932676.2502
1.3700,932625.7410
1.3800,932654.8695
1.3900,932600.4449
1.4000,932671.1171
1.4100,932565.8076
1.4200,932664.9029
1.4300,932671.4207
1.4400,932629.8798
1.4500,932669.7805
1.4600,932619.9890
1.4700,932656.5564
1.4800,932558.5365
1.4900,932669.8620
1.5000,932621.4660
1.5100,932652.4836
1.5200,932665.8099
1.5300,932616.2667
1.5400,932638.7702
1.5500,932609.4019
1.5600,932663.5195
1.5700,932618.6251
1.5800,932673.3245
1.5900,932682.6889
1.6000,932593.7695
1.6100,932610.7947
1.6200,932620.6377
1.6300,932662.1721
1.6400,932634.9877
1.6500,932669.0778
1.6600,932661.1977
1.6700,932553.7572
1.6800,932673.1935
1.6900,932603.9375
1.7000,932677.4311
1.7100,932612.7954
1.7200,932660.7869
1.7300,932637.6638
1.7400,932613.6778
1.7500,932688.0344
1.7600,932604.9422
1.7700,932645.2124
1.7800,932619.6405
1.7900,932660.9719
1.8000,932618.1558
1.8100,932617.6852
1.8200,932686.4661
1.8300,932608.2137
1.8400,932676.1166
1.8500,932620.8067
1.8600,932605.6232
1.8700,932617.3772
1.8800,932647.2083
1.8900,932690.9869
1.9000,932600.6473
1.9100,932688.7766
1.9200,932613.6930
1.9300,932598.0782
1.9400,932615.3848
1.9500,932681.5600
1.9600,932661.5632
1.9700,932607.3780
1.9800,932668.4104
1.9900,932576.2847
2.0000,932658.9266
2.0100,932621.0773
2.0200,932670.0196
2.0300,932609.0037
2.0400,932670.3087
2.0500,932665.1369
2.0600,932556.4193
2.0700,932678.0240
2.0800,932636.5462
2.0900,932644.6404
2.1000,932612.1712
2.1100,932677.2813
2.1200,932606.6708
2.1300,932623.4375
2.1400,932671.4152
2.1500,932629.2230
2.1600,932658.1673
2.1700,932611.7755
2.1800,932688.6138
2.1900,932542.4665
2.2000,932675.3361
2.2100,932651.5117
2.2200,932629.4924
2.2300,932674.5871
2.2400,932619.2223
2.2500,932617.2983
2.2600,932593.8126
2.2700,932694.1909
2.2800,932582.4924
2.2900,932687.8035
2.3000,932686.3627
2.3100,932607.4760
2.3200,932604.8643
2.3300,932619.9447
2.3400,932663.8452
2.3500,932607.9402
2.3600,932692.9567
2.3700,932616.2092
2.3800,932604.5386
2.3900,932674.5501
2.4000,932619.9100
2.4100,932655.8370
2.4200,932604.6466
2.4300,932696.7520
2.4400,932605.9638
2.4500,932628.3807
2.4600,932613.9973
2.4700,932658.7041
2.4800,932670.1730
2.4900,932606.7805
2.5000,932682.3716
2.5100,932561.4611
2.5200,932661.5926
2.5300,932633.5830
2.5400,932661.3734
2.5500,932613.5634
2.5600,932654.8864
2.5700,932681.0361
2.5800,932579.3085
2.5900,932673.8958
2.6000,932591.0038
2.6100,932676.5395
2.6200,932600.8805
2.6300,932680.4129
2.6400,932617.3128
2.6500,932634.7495
2.6600,932657.1137
2.6700,932603.1835
2.6800,932676.6828
2.6900,932615.7881
2.7000,932649.8667
2.7100,932585.1763
2.7200,932659.6312
2.7300,932625.0723
2.7400,932675.0179
2.7500,932619.5322
2.7600,932650.4044
2.7700,932681.0838
2.7800,932568.5985
2.7900,932665.6154
2.8000,932604.9780
2.8100,932688.8645
2.8200,932610.8214
2.8300,932666.0610
2.8400,932565.6514
2.8500,932651.6417
2.8600,932690.4742
2.8700,932611.9481
2.8800,932667.7588
2.8900,932614.3024
2.9000,932672.7170
2.9100,932560.2279
2.9200,932666.0608
2.9300,932612.4653
