Time,Kinetic_E,Potential_E,Total_E
0.0000,5199132.8881,-1329642.1771,3869490.7110
0.0100,5212605.0351,-1189928.8367,4022676.1984
0.0200,5220151.4751,-1386506.8275,3833644.6475
0.0300,5222666.9866,-1340990.3853,3881676.6012
0.0400,5223277.3578,-1225222.9031,3998054.4547
0.0500,5210996.3207,-1233626.5099,3977369.8108
0.0600,5204966.7270,-1376207.1721,3828759.5549
0.0700,5221730.5159,-1321377.0952,3900353.4208
0.0800,5183338.9745,-1358905.0099,3824433.9647
0.0900,5156021.5068,-1430249.0845,3725772.4224
0.1000,5168318.3687,-1248095.1528,3920223.2159
0.1100,5202469.0187,-1286989.6907,3915479.3280
0.1200,5229929.0368,-1334925.9293,3895003.1075
0.1300,5278678.2664,-1338511.3358,3940166.9306
0.1400,5324933.8117,-1242673.3426,4082260.4692
0.1500,5358112.3602,-1294864.6093,4063247.7509
0.1600,5330667.8956,-1431480.4329,3899187.4627
0.1700,5281384.1570,-1277947.2073,4003436.9497
0.1800,5254778.8847,-1327301.9829,3927476.9018
0.1900,5258939.1016,-1247868.1519,4011070.9497
0.2000,5260143.2354,-1267908.5639,3992234.6716
0.2100,5208748.0140,-1270394.9902,3938353.0238
0.2200,5175255.8223,-1211387.2730,3963868.5493
0.2300,5185277.8803,-1312770.4430,3872507.4373
0.2400,5198834.4101,-1258934.4700,3939899.9401
0.2500,5192297.4792,-1397747.3907,3794550.0885
0.2600,5221163.1556,-1311551.3704,3909611.7852
0.2700,5247918.6349,-1311195.7573,3936722.8776
0.2800,5235082.8779,-1273716.8671,3961366.0107
0.2900,5224181.1969,-1328653.3684,3895527.8285
0.3000,5228344.2850,-1105819.3732,4122524.9119
0.3100,5208344.4267,-1222197.5534,3986146.8733
0.3200,5190956.3515,-1366284.8003,3824671.5512
0.3300,5141066.1067,-1255315.0631,3885751.0435
0.3400,5116324.6695,-1271719.2285,3844605.4410
0.3500,5135810.1751,-1255226.2313,3880583.9438
0.3800,6634520.1302,-1741530.1681,4892989.9620
0.3900,6659145.3026,-1748788.6246,4910356.6780
0.4000,6691891.7558,-1700238.3336,4991653.4222
0.4100,6692805.3459,-1757664.1849,4935141.1610
0.4200,6679011.8116,-1704752.4849,4974259.3267
0.4300,6707639.9214,-1714641.6371,4992998.2843
0.4400,6742699.0552,-1727866.5452,5014832.5100
0.4500,6770886.4557,-1733488.2008,5037398.2548
0.4600,6763023.8804,-1744464.5409,5018559.3394
0.4700,6777983.7414,-1730290.2609,5047693.4806
0.4800,6844251.0030,-1710722.3803,5133528.6226
0.4900,6946613.5201,-1755831.8632,5190781.6569
0.5000,7060517.7566,-1701864.1322,5358653.6244
0.5100,7184924.0654,-1776893.3848,5408030.6806
0.5200,7298936.6135,-1799022.8721,5499913.7413
0.5300,7412107.1988,-1799623.6956,5612483.5031
0.5400,7538928.1655,-1718743.2982,5820184.8673
0.5500,7640187.0517,-1760750.0117,5879437.0400
0.5600,7616685.8730,-1808347.2219,5808338.6511
0.5700,7562962.8055,-1766251.7518,5796711.0537
0.5800,7479738.9473,-1788886.7291,5690852.2182
0.5900,7432574.6202,-1812519.2088,5620055.4114
0.6000,7388134.2719,-1749254.7168,5638879.5551
0.6100,7305479.2896,-1804201.2215,5501278.0681
0.6200,7212867.6495,-1839805.6255,5373062.0240
0.6300,7152521.3545,-1804261.5250,5348259.8295
0.6400,7046141.7782,-1775748.9361,5270392.8421
0.6500,6942598.4747,-1733368.7491,5209229.7257
0.6600,6847836.2644,-1749819.4468,5098016.8176
0.6700,6804681.3709,-1772660.2599,5032021.1109
0.6800,6769162.8767,-1706383.6887,5062779.1880
0.6900,6707173.1504,-1828371.6795,4878801.4709
0.7000,6625871.7400,-1744819.8584,4881051.8816
0.7100,6599307.1609,-1615068.8488,4984238.3121
0.7200,6592948.5657,-1705411.9190,4887536.6467
0.7300,6578308.3315,-1638468.6955,4939839.6359
0.7400,6527349.1746,-1668056.5488,4859292.6257
0.7500,6501536.2304,-1579464.3481,4922071.8823
0.7600,6557677.7394,-1622105.3392,4935572.4002
0.7700,6674422.0346,-1689473.2415,4984948.7931
0.7800,6744209.8297,-1680275.8820,5063933.9478
0.7900,6704102.0150,-1721577.5533,4982524.4617
0.8000,6637491.1399,-1668764.0697,4968727.0702
0.8100,6570894.9042,-1696030.7466,4874864.1577
0.8200,6515483.6053,-1617820.3344,4897663.2708
0.8300,6528089.8929,-1711425.8760,4816664.0169
0.8400,6506913.6709,-1726478.5434,4780435.1275
0.8500,6486859.4263,-1610112.8468,4876746.5794
0.8600,6484251.2663,-1641956.9829,4842294.2834
0.8700,6491074.3101,-1768068.7914,4723005.5186
0.8800,6471156.3391,-1678679.3320,4792477.0071
0.8900,6434998.0043,-1623838.5678,4811159.4365
0.9000,6425865.9899,-1707510.3104,4718355.6795
0.9100,6383841.6864,-1581679.5599,4802162.1265
0.9200,6353886.0308,-1720881.1740,4633004.8568
